      r       	      z       	     U_r      	    U_phi     	     U_z      	   U_r U_r       U_phi U_phi   	   U_z U_z   	   U_r U_phi   	   U_r U_z    	
3.97756837e+00	1.00000000e+00	-5.9536704e-03	-4.2882610e-05	2.44138602e-04	3.67183563e-05	1.45710417e-06	4.50502189e-07	2.60619553e-07	-1.8384748e-06	
4.15588552e+00	1.00000000e+00	-5.6158889e-03	-4.2372182e-05	1.19154799e-04	3.28360972e-05	1.43743653e-06	4.36658124e-07	2.46980617e-07	-1.0696211e-06	
4.34053354e+00	1.00000000e+00	-5.3055726e-03	-4.1847238e-05	-2.6548870e-05	2.94802903e-05	1.41979460e-06	4.54938588e-07	2.36287511e-07	-2.7569645e-07	
4.53173718e+00	1.00000000e+00	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	
4.72972919e+00	1.00000000e+00	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	
4.93475059e+00	1.00000000e+00	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	
5.14705094e+00	1.00000000e+00	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	
5.36688866e+00	1.00000000e+00	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	
5.59453137e+00	1.00000000e+00	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	
5.83025615e+00	1.00000000e+00	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	
6.07434996e+00	1.00000000e+00	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	
6.32710993e+00	1.00000000e+00	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	
6.58884372e+00	1.00000000e+00	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	
6.85986994e+00	1.00000000e+00	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.000000000000	
